net,norm,per probe prompt,neg_cov_weight,loss,erase_prompt,model,dataset,sweep_name,75_layer-full,75_layer-none,75_layer-partial,last_layer-full,last_layer-none,last_layer-partial,layer_ensemble-full,layer_ensemble-partial,layer_ensemble-none,combo
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,imdb,vigilant-montalcini,0.4963,0.5,0.5001,0.5051,0.5002,0.5003,0.5118,0.5006,0.5003,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,imdb,condescending-yonath,0.4963,0.5,0.5001,0.5251,0.5004,0.5008,0.5109,0.5006,0.5004,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,imdb,awesome-booth,0.5667,0.5126,0.5147,0.5498,0.5107,0.513,0.5663,0.5143,0.5128,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,imdb,gracious-solomon,0.5667,0.5126,0.5147,0.5496,0.5107,0.5131,0.5662,0.5141,0.5127,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,imdb,hardcore-nash,0.5734,0.52,0.5245,0.5677,0.5191,0.5233,0.5731,0.5247,0.5206,ccs-leace-False--1.0*ccs_prompt_var-True
ccs,leace,False,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,imdb,cool-wing,0.5734,0.52,0.5245,0.5683,0.5193,0.5236,0.573,0.5248,0.5206,ccs-leace-False--1.0*ccs_prompt_var-True
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,piqa,vigilant-montalcini,0.4967,0.5006,0.4999,0.4961,0.5005,0.5001,0.4976,0.4998,0.5002,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,piqa,condescending-yonath,0.4967,0.5006,0.4999,0.4961,0.5005,0.5001,0.4974,0.4998,0.5004,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,piqa,awesome-booth,0.5136,0.5047,0.5045,0.5049,0.5019,0.5025,0.5136,0.5051,0.5049,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,piqa,gracious-solomon,0.5135,0.5048,0.5045,0.5048,0.5018,0.5024,0.5135,0.5051,0.505,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,piqa,hardcore-nash,0.5102,0.5069,0.5051,0.4993,0.5013,0.4992,0.5131,0.5064,0.5079,ccs-leace-False--1.0*ccs_prompt_var-True
ccs,leace,False,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,piqa,cool-wing,0.5102,0.5069,0.5051,0.4994,0.5014,0.4992,0.5118,0.5052,0.5071,ccs-leace-False--1.0*ccs_prompt_var-True
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,super_glue:boolq,vigilant-montalcini,0.5058,0.5003,0.5004,0.5077,0.4999,0.4997,0.5116,0.5004,0.5002,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,super_glue:boolq,condescending-yonath,0.5058,0.5003,0.5004,0.5077,0.4999,0.4997,0.5122,0.5001,0.5001,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,super_glue:boolq,awesome-booth,0.5373,0.5069,0.5078,0.543,0.5076,0.509,0.5404,0.5085,0.5076,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,super_glue:boolq,gracious-solomon,0.5373,0.5069,0.5078,0.543,0.5076,0.509,0.5404,0.5086,0.5076,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,super_glue:boolq,hardcore-nash,0.542,0.5091,0.5106,0.5453,0.5091,0.5109,0.5423,0.5105,0.5091,ccs-leace-False--1.0*ccs_prompt_var-True
ccs,leace,False,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,super_glue:boolq,cool-wing,0.5424,0.5092,0.5106,0.5453,0.5091,0.5109,0.5428,0.5106,0.5092,ccs-leace-False--1.0*ccs_prompt_var-True
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,super_glue:copa,vigilant-montalcini,0.6356,0.5859,0.6148,0.625,0.5847,0.6164,0.665,0.6308,0.6313,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,super_glue:copa,condescending-yonath,0.6381,0.5869,0.6161,0.6266,0.5847,0.6158,0.6658,0.6293,0.6308,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,super_glue:copa,awesome-booth,0.616,0.5171,0.6295,0.6209,0.5247,0.6265,0.6266,0.6303,0.5224,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,super_glue:copa,gracious-solomon,0.6152,0.5161,0.6287,0.6209,0.5247,0.6265,0.6258,0.6301,0.5223,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,super_glue:copa,hardcore-nash,0.6266,0.5178,0.6313,0.6209,0.5228,0.6234,0.6307,0.633,0.5232,ccs-leace-False--1.0*ccs_prompt_var-True
ccs,leace,False,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,super_glue:copa,cool-wing,0.6266,0.5178,0.6312,0.6217,0.5225,0.6231,0.6299,0.6329,0.5232,ccs-leace-False--1.0*ccs_prompt_var-True
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,super_glue:rte,vigilant-montalcini,0.5524,0.4995,0.5004,0.4457,0.5023,0.4963,0.4861,0.4981,0.5009,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,super_glue:rte,condescending-yonath,0.4742,0.4945,0.4941,0.4722,0.4932,0.4894,0.4917,0.5013,0.5022,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,super_glue:rte,awesome-booth,0.4799,0.4999,0.4779,0.4612,0.4951,0.4723,0.4751,0.4763,0.4983,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,super_glue:rte,gracious-solomon,0.4822,0.5003,0.4784,0.4612,0.4951,0.4723,0.4752,0.4764,0.4984,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,super_glue:rte,hardcore-nash,0.4793,0.4999,0.4778,0.4585,0.4942,0.4716,0.4704,0.4753,0.4975,ccs-leace-False--1.0*ccs_prompt_var-True
ccs,leace,False,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,super_glue:rte,cool-wing,0.4798,0.4999,0.478,0.4587,0.4941,0.4714,0.4712,0.4754,0.4975,ccs-leace-False--1.0*ccs_prompt_var-True
